1.65624,3.15021
2.59684,2.82796
1.24508,2.78877
0.983194,2.94
2.24605,3.04267
0.743651,2.95917
0.661772,2.95272
2.01869,2.83297
1.88985,2.77111
2.31692,2.84643
2.16679,3.05442
1.05865,2.39123
1.22099,2.85713
1.85071,2.84201
1.12833,3.01675
1.55683,2.89158
0.208625,2.97194
1.30805,2.74848
1.55696,2.7375
0.338538,2.84384
0.123273,3.03107
1.7855,3.11218
2.0668,3.05686
3,3.00614
0.505652,2.7303
1.66636,2.61837
1.13913,2.89078
0.976189,3.08297
2.54172,3.04509
3,3.05109
0.936496,2.82966
1.01999,2.43972
1.19415,2.67752
1.33003,2.70723
1.01731,3.01661
0.958068,2.72465
1.06733,2.90955
2.32586,2.85735
1.69972,2.89478
1.73697,2.91059
1.968,2.86266
3,2.96107
1.92447,2.47398
1.35482,2.81975
0.197648,3.04067
2.01152,2.97168
2.70596,2.81751
2.02939,3.15335
1.30602,2.91328
2.43681,3.02075
1.69443,2.76623
1.42002,2.9849
0.760224,2.81828
1.97363,2.81301
1.90898,2.8798
0.814599,2.95027
2.74772,2.794
0.0173636,2.66928
1.03359,3.07558
2.87375,3.02753
2.0093,2.73206
1.42794,3.02783
0.624334,2.99691
2.12636,2.72648
2.00647,2.43693
1.61532,2.60052
2.92855,3.04396
